Precio $,Dormitorios,Nombre,Tamaño mt2,Habitaciones,Sanitarios,Parqueos,Zona,Agente,Tipo de Propiedad,URL
$ 875 Mantenimiento incluido,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Estilo Bienes Raices,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,800",4,Zona 14,275,4,4,Info no disponible,"Zona 14, Guatemala",Aguirre Bolaños Asociados,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200 + Mantenimiento",2,Zona 14,295,2,2.5,Info no disponible,"Zona 14, Guatemala",Inmobiliaria InHouse,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,500 Ma IVA",2,Zona 14,146,2,2.5,Info no disponible,"Zona 14, Guatemala",Marlenne Hage,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 860,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",ÉCLAT ESTATE REAL ESTATE,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900,1,Zona 14,58,1,1,Info no disponible,"Zona 14, Guatemala",ACODI Inmobiliaria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 5,000 Más IVA",3,Zona 14,350,3,3.5,Info no disponible,"Zona 14, Guatemala",Marlenne Hage,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 850 Mant Incluido,1,Zona 14,56,1,1,Info no disponible,"Zona 14, Guatemala",Ana Luisa Gallardo,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,965",2,Zona 14,295,2,2,Info no disponible,"Zona 14, Guatemala",Maria Rosales,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,192.46 Q 9,480.00",3,Zona 14,82,3,2,Info no disponible,"Zona 14, Guatemala",Brenda De Baechli,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 994 7,900.00",2,Zona 14,62,2,2,Info no disponible,"Zona 14, Guatemala",Brenda De Baechli,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 820 Inc mant,1,Zona 14,100,1,1,Info no disponible,"Zona 14, Guatemala",Fusion Inmobiliaria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 700,1,Zona 14,Info no disponible,1,2,Info no disponible,"Zona 14, Guatemala",Rialta Inmobiliaria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,800",2,Zona 14,125,2,2,Info no disponible,"Zona 14, Guatemala",Inmobiliaria Vertical,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 700,1,Zona 14,43,1,1,Info no disponible,"Zona 14, Guatemala",COINMSA Guatemala,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 850 1 habitación,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Enlaces Inmobiliarios,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900 1 habitación,1,Zona 14,Info no disponible,1,1.5,Info no disponible,"Zona 14, Guatemala",Enlaces Inmobiliarios,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 905,1,Zona 14,56,1,1,Info no disponible,"Zona 14, Guatemala",Juan José Zarco,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,400 incluye mantenimiento e I",3,Zona 14,120,3,2,Info no disponible,"Zona 14, Guatemala",Maria Fernanda Diaz Schwarz,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,950 mantto e IVA incluido",2,Zona 14,228,2,2.5,Info no disponible,"Zona 14, Guatemala",Negocios Integros,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 850,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Verónica Leal,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,295,2,2.5,Info no disponible,"Zona 14, Guatemala",Negocios Integros,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,200",2,Zona 14,107,2,2,Info no disponible,"Zona 14, Guatemala",Diana Solorzano,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,500 MATTO INCLUIDO",2,Zona 14,146,2,2.5,Info no disponible,"Zona 14, Guatemala",Negocios Integros,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,700",2,Zona 14,Info no disponible,2,2.5,Info no disponible,"Zona 14, Guatemala",Valentina Barrientos,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,000",1,Zona 14,100,1,2,Info no disponible,"Zona 14, Guatemala",ALQUILOGT,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900,1,Zona 14,96,1,1.5,Info no disponible,"Zona 14, Guatemala",Bertha Maria Chavarria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,500",3,Zona 14,140,3,2.5,Info no disponible,"Zona 14, Guatemala",V&R,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 5,600 Mantenimiento incluido",3,Zona 14,342,3,3.5,Info no disponible,"Zona 14, Guatemala",Jeniffer Zaldaña,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,960",2,Zona 14,295,2,3,Info no disponible,"Zona 14, Guatemala",DK Real Estate,Tipo no especificado,https://mapainmueble.com/area/zona-14/
