Precio,Tamaño de la propiedad,Parqueos,Dormitorios,Baños
"650,000",600.0,3.0,4.0,4.5
"135,000",89.0,1.0,1.0,1.5
"287,299",105.0,2.0,3.0,3.0
"92,000",45.0,1.0,1.0,1.0
"555,000",223.0,3.0,3.0,3.0
"100,000",40.0,1.0,1.0,1.0
"229,000",95.0,0.0,3.0,2.0
"230,000",121.0,2.0,2.0,2.0
"325,000",180.0,2.0,3.0,2.5
"148,000",50.0,1.0,12.0,2.0
"130,000",78.0,2.0,2.0,2.0
"235,000",150.0,2.0,2.0,2.0
"273,345",117.0,2.0,3.0,3.0
"115,000",67.0,1.0,2.0,1.0
"160,000",80.0,2.0,3.0,2.0
"160,000",80.0,2.0,3.0,2.0
"160,000",80.0,2.0,3.0,2.0
"160,000",80.0,2.0,3.0,2.0
"160,000",80.0,2.0,3.0,2.0
"410,000",147.0,2.0,2.0,2.5
"280,000",136.0,2.0,3.0,2.5
"395,000",115.0,2.0,3.0,2.5
"175,000",137.0,2.0,2.0,2.0
"820,000",415.0,4.0,3.0,4.0
"230,000",95.0,2.0,3.0,2.0
"120,000",52.0,2.0,1.0,1.0
"182,000",168.0,2.0,3.0,2.0
"182,000",168.0,2.0,3.0,2.0
"522,000",269.0,3.0,3.0,3.0
"330,000",133.0,2.0,2.0,3.0
"225,000",95.0,2.0,3.0,2.0
"310,000",242.0,2.0,3.0,3.5
"325,000",187.0,2.0,3.0,2.0
"220,000",94.0,2.0,3.0,2.0
"350,000",199.0,2.0,3.0,2.5
"350,000",199.0,2.0,3.0,2.5
"350,000",199.0,2.0,3.0,2.5
"350,000",199.0,2.0,3.0,2.5
"530,000",200.0,2.0,2.0,2.5
"229,000",118.0,2.0,3.0,2.5
"135,000",102.0,1.0,1.0,1.0
"163,000",100.0,2.0,3.0,2.5
"131,250",70.0,2.0,2.0,2.0
"535,000",200.0,2.0,2.0,2.5
"160,000",139.0,2.0,3.0,2.5
"240,000",95.0,2.0,3.0,2.0
"183,000",83.0,2.0,3.0,2.0
"89,743",60.0,2.0,3.0,1.0
"245,000",96.0,2.0,3.0,4.0
"375,000",211.0,3.0,3.0,3.0
